Code;Strand;Goal;Goal Short Name;Objective;Core Keywords;Elective Keywords;Core Rubric Level;Frontend Path;Backend Path
TEC089;Technical;Learn how to work with Media,  Animation and Games;Media,  Animation and Games;I know how to architect and organize my game logic with GameplayKit;;"Entities and Components; State Machines; Spatial Partitioning; Strategists; Decision Trees; Pathfinding; Agents;  Goals;  and Behaviors; Obstacles; Procedural Noise; Randomization; Rule Systems; Xcode and SpriteKit Integration;";;;
TEC090;Technical;Learn how to work with Media,  Animation and Games;Media,  Animation and Games;I know how to support hardware game controllers in my game with Game Controller;;"Game Controllers; Input Elements; Control Profiles; Routing Events; Keyboard and Mouse Elements; Classes;";;;
TEC091;Technical;Learn how to work with Media,  Animation and Games;Media,  Animation and Games;I can create experiences that keep players coming back to my game with GameKit;;"Access Point; Players; Leaderboards; Achievements; Challenges; View Controllers; Turn-based Games; Real-Time Matches; Player Invitations; Notifications; Save Game Data; Entitlements; Errors;";;;
TEC092;Technical;Learn how to work with Media,  Animation and Games;Media,  Animation and Games;I know how to interact with device’s audio hardware with Core Audio;;"Reference; Structures;";;;
TEC093;Technical;Learn how to work with Media,  Animation and Games;Media,  Animation and Games;I can render graphics in a standard Metal view,  load textures from many sources,  and work efficiently with models with MetalKit;;"View Management; Texture Loading; Model Handling;";;;
TEC094;Technical;Learn how to work with Media,  Animation and Games;Media,  Animation and Games;I can record or play audio,  convert formats,  parse audio streams,  and configure audio sessions with AudioToolbox;;"Essentials; Inter-Device Audio and MIDI; Audio Units; Playback and Recording; Audio Files and Formats; Utilities;";;;
TEC095;Technical;Learn how to work with Media,  Animation and Games;Media,  Animation and Games;I can integrate iOS device camera and motion features to produce augmented reality experiences with ARKit;;"Essentials; Camera; Quick Look; Display; World Tracking; Geo Tracking; Face Tracking; People; Image Tracking; Object Detection; Orientation Tracking; Positional Tracking; Rendering Effects; Multiuser; Audio; Text; Custom Display;";;;
TEC096;Technical;Learn how to work with Networking and Backend;Networking and Backend;I can store structured app and user data in iCloud containers that can be shared by all users of my app with CloudKit;;"Records; Assets; Queries; Notifications and Subscriptions; Shared Content; Database Management; User Data Management; Web; Errors;";;;Proficient 
TEC097;Technical;Learn how to work with Networking and Backend;Networking and Backend;I know how to handle Networking with Foundation;;"URL Loading System; Bonjour;";;;Exemplary 
TEC098;Technical;Learn how to work with Operating Systems;Operating Systems;I can construct and manage a graphical,  event-driven user interface for my macOS app with AppKit;;"Essentials; App Structure; User Interface; User Interactions; Graphics;  Drawing;  Color;  and Printing; Text;";;;-
TEC099;Technical;Learn how to work with Operating Systems;Operating Systems;I can create client-server apps by incorporating JavaScript and TVML files in my binary app with TVMLKit;;"JavaScript Environment; Views and View Controllers; Custom Elements; Custom Styles; Custom Player; Errors;";;;-
TEC100;Technical;Learn how to work with Operating Systems;Operating Systems;I can capture touch and Apple Pencil input as a drawing,  and display that content from my app with PencilKit;;"Canvas; Tools;";;;-
TEC101;Technical;Learn how to work with Operating Systems;Operating Systems;I can use Apple TV Markup Language to create individual pages inside of a client-server app with TVML;;"Full-Page Templates; Compound Elements; Simple Elements; Styles; Attributes; Queries; Resource Icons;";;;-
TEC102;Technical;Learn how to work with Operating Systems;Operating Systems;I can implement two-way communication between an iOS app and its paired watchOS app with WatchConnectivity;;"First Steps; Data Objects; ";;;-
TEC103;Technical;Learn how to work with Operating Systems;Operating Systems;I can create tvOS client-server apps using web technologies to stream media and respond to events with TVMLKit JS;;"First Steps; App Initialization; Device Settings; Media Playback; Element Access; Data Storage and Retrieval; Errors; Classes;";;;-
TEC104;Technical;Learn how to work with Operating Systems;Operating Systems;I know how to build apps that leverage watchOS features with WatchKit;;"Essentials; App Infrastructure; Audio; Storyboard Support; Extended Runtime Sessions; Background Tasks; Notifications; Errors;";;;-
TEC105;Technical;Learn how to work with Operating Systems;Operating Systems;I can show common user interface elements from Apple TV in my native app with TVUIKit;;"Lockup Views; Header and Footer View; State Changes; Input View; Collection View;";;;-
TEC106;Technical;Learn how to use Platform Functionalities;Platform Functionalities;I can manage resources located in an app,  framework,  or plugin bundle with Bundle Resources;;"Property Lists; Objects;";;Progressing ;Proficient 
TEC107;Technical;Learn how to use Platform Functionalities;Platform Functionalities;I can implement handoff;;"Handoff Activities; NSUserActivity; NSUserActivityDelegate;";;;-
TEC108;Technical;Learn how to use Platform Functionalities;Platform Functionalities;I know how to create app extensions;;"NSExtensionRequestHandling; NSExtensionContext; Custom Keyboard;";;;Proficient 
TEC109;Technical;Learn how to use Platform Functionalities;Platform Functionalities;I can apply Drag and Drop;;"Drag and Drop;";;Beginning ;-
TEC110;Technical;Learn how to use Platform Functionalities;Platform Functionalities;I can implement Mac Catalyst;;"App Support; User Interface; User Interactions; User Preferences;";;;-
TEC111;Technical;Learn how to use Platform Functionalities;Platform Functionalities;I know how to protect User’s Privacy;"Requesting Access to Protected Resources;";"Guidelines from Government Sources;";Progressing;Exemplary ;Exemplary 
TEC112;Technical;Learn how to use Platform Functionalities;Platform Functionalities;I know how to manage Accessibility;"Accessibility Inspector; Dynamic Type;";"VoiceOver; UIAccessibility; Guided Access; Assistive Touch; Switch Control; Text to Speech;";Progressing;Proficient ;Proficient 
TEC113;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can communicate with Bluetooth low energy and BR/EDR “Classic” Devices with Core Bluetooth;;"Centrals; Peripherals; Data Transfer; Services; Supporting Types; Bluetooth Classic Support; Errors;";;;-
TEC114;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can display an interface for viewing,  selecting,  and editing calendar events and reminders with EventKitUI;;"Calendar Views; Calendar Edits; Calendar Selection; EventKit Bundle Access;";;;-
TEC115;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I know how to detect NFC tags,  read messages that contain NDEF data,  and save data to writable tags with Core NFC;;"Essentials; Reader Sessions; Tag Types; NDEF Messages and Payloads; Errors; ";;;-
TEC116;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can enable teachers to assign activities from your app’s content and to view student progress with ClassKit;;"Essentials; Contexts; Activities; Activity Items; Errors;";;;-
TEC117;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can perform cryptographic operations securely and efficiently with CryptoKit;;"Essentials; Cryptographically Secure Hashes; Message Authentication Codes; Ciphers; Public-Key Cryptography; Errors;";;;Progressing 
TEC118;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can display information about users’ contacts in a graphical interface with ContactsUI;;"Contact Viewer; Contact Pickers;";;;-
TEC119;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can accelerate training and validation of neural networks using the CPU and GPUs with ML Compute;;"MLCTensor; Layers; Training and Validation; ";;;-
TEC120;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can request and process Apple Pay payments in my app. Create,  distribute,  and update passes for the Wallet app with PassKit;;"Apple Pay Support; Wallet Support; Structures; Classes;";;;Progressing 
TEC121;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;"I can provide users the ability to sign in to my apps and websites using their Apple ID with Sign in with Apple";;"Sign in with Apple JS; Sign in with Apple REST API; Transfers Across Teams;";;;Progressing 
TEC122;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can create previews of files to use inside my app,  or perform simple edits on previews with QuickLook;;"Previews and Thumbnails;";;;-
TEC123;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can detect the contours of the edges of an image with Vision;;"VNDetectContoursRequest; VNContoursObservation; VNContour;";;;-
TEC124;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can create a user interface for composing email and text messages,  so users can edit and send messages without leaving my app with MessageUI;;"Email Composition Interface; Message Composition Interface;";;;-
TEC125;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can analyze natural language text and deduce its language-specific metadata with Natural Language;;"Tokenization; Language Identification; Linguistic Tags; Text Embedding; Natural Language Models;";;;-
TEC126;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can use the iOS camera to scan documents like those you capture in the Notes app with VisionKit;;"Document Scanning;";;;-
TEC127;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can determine the geometries of various Vision types with Vision;;"VNGeometryUtils; VNVideoProcessor; VNCircle; VNVector;";;;-
TEC128;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can demonstrate how to use Composition Interfaces with Social;;"Composition Interfaces; Server Communication;";;;-
TEC129;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can find rectangular features like cards and signs in images with Vision;;"VNDetectRectanglesRequest; VNRectangleObservation;";;;-
TEC130;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can process accelerometer,  gyroscope,  pedometer,  and environment-related events with Core Motion;;"First Steps; Device Motion; Accelerometers; Gyroscopes; Pedometer; Magnetometer; Altitude; Headphone Motion Manager; Historical Data; Common Data; Movement Disorder Manager;";;;-
TEC131;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can secure the data my app manages,  and control access to my app with Security;;"Authorization and Authentication; Secure Data; Secure Code; Cryptography; Result Codes; Legacy Interfaces;";;;-
TEC132;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I know how to execute code concurrently on multicore hardware with Dispatch;;"Queues and Tasks; Quality of Service; System Event Monitoring; Task Synchronization; Time Constructs; Dispatch Objects;";;;-
TEC133;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can recognizes various animals in an image with Vision;;"VNRecognizeAnimalsRequest;";;;-
TEC134;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can apply Vision algorithms to identify objects in real-time video with Vision;;"VNRecognizedObjectObservation;";;;-
TEC135;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can manage Files and Data Persistence with Foundation;;"File System; Archives and Serialization; Preferences; Spotlight; iCloud;";;;-
TEC136;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I know how to access operating-system services with Foundation;;"Task Management; Resources; Notifications; App Extension Support; Errors and Exceptions; Scripting Support;";;;Progressing 
TEC137;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can find regions of visible text in an image with Vision;;"VNDetectTextRectanglesRequest; VNTextObservation; VNRecognizeTextRequest; VNRecognizedTextObservation;";;;-
TEC138;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can create network connections to send and receive data using transport and security protocols with Network;;"Essentials; Connections and Listeners; Network Protocols; Network Security; Paths and Interfaces; Errors; Network Debugging;";;;Exemplary 
TEC139;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can persist or cache data and support undo on a single device with Core Data;;"Essentials; Data Modeling; Fetch Requests; CloudKit Mirroring; Change Processing; Background Tasks; Data Migration;";;;Exemplary 
TEC140;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can perform image analysis to find faces and rectangular regions containing humans in an image with Vision;;"VNDetectFaceRectanglesRequest; VNFaceObservation; VNDetectFaceLandmarksRequest; VNDetectHumanRectanglesRequest; VNDetectFaceCaptureQualityRequest;";;;-
TEC141;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can handle user requests for my app’s services that originate from Siri or Maps with SiriKit;;"Essentials; Siri Intents; Shortcuts; Siri Event Suggestions; Siri Domains; Custom Siri and Maps Displays; Custom Vocabulary; Common Objects Classes;";;;-
TEC142;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can gain low-level access to the Objective-C runtime and the Objective-C root types with the Objective-C Runtime;;"Classes; Protocols; Structures; Reference; Enumerations;";;;-
TEC143;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can demonstrate alignment manipulation between two images with Vision;;"VNTargetedImageRequest; VNImageRegistrationRequest; VNImageAlignmentObservation; VNTranslationalImageRegistrationRequest; VNImageTranslationAlignmentObservation; VNHomographicImageRegistrationRequest; VNImageHomographicAlignmentObservation;";;;-
TEC144;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can integrate machine learning models into your app with Core ML;;"First Steps; Computer Vision; Natural Language; App Size Management; Core ML API;";;;-
TEC145;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I know how to obtain the geographic location and orientation of a device with Core Location;;"Essentials; Authorization; Location Updates; Region Monitoring; iBeacon; Compass Headings; Geocoding; Errors;";;;Proficient 
TEC146;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can push user-facing notifications to the user's device with UserNotifications;;"Essentials; Notification Management; Remote Notifications; Notification Requests; Notification Content; Triggers; Notification Categories and User Actions; Notification Responses; Notification Service App Extension; Entitlements;";;;Proficient 
TEC147;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can locate and demarcate rectangles,  barcodes,  and text in images using the Vision framework with Vision;;"VNImageRequestHandler; VNClassifyImageRequest; VNRequest; VNObservation;";;;-
TEC148;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can create machine learning models for use in my app with Create ML;;"Image Models; Video Models; Text Models; Sound Models; Motion Models; Tabular Models; Tabular Data; Model Accuracy; Model Training Control; Supporting Types;";;;-
TEC149;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I know how to retrieve data and derived metrics from an iPhone’s sensors,  or from a paired Apple Watch with SensorKit;;"Classes; Protocols; Reference;";;;-
TEC150;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can chat with my customers using the Messages app with Business Chat;;"First Steps; Chat with Customers; Classes;";;;-
TEC151;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can create an app clip to make some of my app’s functionality available to users who don’t have the full app installed with AppClip;;"Essentials; App Clip Launch; App Clip and Corresponding App; Notifications; App Clip Distribution;";;;-
TEC152;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can detect the trajectories of shapes moving along a parabolic path with Vision;;"VNDetectTrajectoriesRequest; VNTrajectoryObservation; ";;;-
TEC153;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can determine the horizon angle in an image with Vision;;"VNDetectHorizonRequest; VNHorizonObservation;";;;-
TEC154;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can create apps that help people better understand and manage their health with CareKit;;"Essentials; Data Management; Tasks and Outcomes; Patient Data; User Interface; Data Customization;";;;-
TEC155;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I know how to support in-app purchases and interactions with the App Store with StoreKit;;"In-App Purchase; App Receipt Validation; Recommendations and Reviews; Apple Music; Apple Arcade; Errors;";;;Proficient 
TEC156;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I know how to reate,  view,  and edit calendar and reminder events with EventKit;;"First Steps; Events and Reminders; Calendars; Recurrence; Alarms; Common Objects; Errors;";;;-
TEC157;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can respond to push notifications related to my app’s complications,  file providers,  and VoIP services with PushKit;;"Registration; Push Types; Payload;";;;-
TEC158;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can isolate regions in an image that are most likely to draw people's attention with Vision;;"VNGenerateAttentionBasedSaliencyImageRequest; VNGenerateObjectnessBasedSaliencyImageRequest; VNSaliencyImageObservation;";;;-
TEC159;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can access the user's contacts and format and localize contact information with Contacts;;"Essentials; Contact Data; Fetch and Save Requests; Change History Data; Formatters; Errors;";;;-
TEC160;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can find and recognizes barcodes in an image with Vision;;"VNBarcodeSymbology; VNDetectBarcodesRequest; VNBarcodeObservation;";;;-
TEC161;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can locate and interact with nearby devices using distance,  direction,  and identifier with NearbyInteraction;;"Essentials; Interaction Sessions; Peer Data; Session Lifecycle;";;;-
TEC162;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can customize the interface that displays local and remote notifications with UserNotificationsUI;;"Notification Content App Extension;";;;-
TEC163;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can perform speech recognition on audio,  receive transcriptions,  alternative interpretations,  and confidence levels of the results with Speech;;"Essentials; Audio Sources; In-Progress Requests; Transcription Results;";;;-
TEC164;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I know how to work with image and video assets managed by the Photos app with PhotoKit;;"Shared Photo Library; Asset Retrieval; Asset Loading; Live Photos; Asset Resource Management; Photo Editing Extensions; macOS Photos Project Extensions; Visual Media Selection;";;;-
TEC165;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can create app extensions that allow users to send text,  stickers,  media files,  and interactive messages with Messages;;"Effects Support; Custom Sticker Packs; Custom iMessage App Interface; Message Content; Interactive Messages; Errors;";;;-
TEC166;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can help users access and manage their external accounts from within my app,  without requiring them to enter login credentials with Accounts;;"Account Management; Account Types; Errors;";;;-
TEC167;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can authenticate users biometrically or with a passphrase they already know with LocalAuthentication;;"First Steps; Authentication and Access; Errors;";;;-
TEC168;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can integrate in my audio,  communication,  navigation,  parking,  EV charging and food ordering apps with CarPlay;;"Essentials; CarPlay Integration; General Purpose Templates; Audio; Navigation; Location and Summary; Communication; Actions and Alerts; Related Types; Classes;";;;-
TEC169;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can make it easy for users to log into apps and services with AuthenticationServices;;"Sign In with Apple; Password-Based Login; Web-Based Login; Enterprise Single Sign-On; AutoFill Credential Provider Support; Web Browser Authentication Session Support; Classes;";;;-
TEC170;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can detect and track faces from the selfie cam feed in real time with Vision;;"VNTrackingRequest; VNTrackRectangleRequest; VNTrackObjectRequest; VNDetectedObjectObservation;";;;-
TEC171;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can implement a COVID-19 exposure notification system that protects user privacy with ExposureNotification;;"Essentials; Exposures; Status; Errors;";;;-
TEC172;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I know how to use built-in or custom filters to process still and video images with Core Image;;"First Steps; Type-Safe Filters; Filter Recipes; Custom Filters; Custom Image Processors; Custom Render Destination; Feedback-Based Processing; Barcode Descriptions; Image Feature Detection; Image Units;";;;-
TEC173;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can add the capability to detect human body poses to my app with Vision;;"VNDetectHumanBodyPoseRequest; VNPoint; VNDetectedPoint; VNDetectHumanHandPoseRequest;";;;-
TEC174;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can customize handling of asynchronous events by combining event-processing operators with Combine;;"Essentials; Publishers; Convenience Publishers; Connectable Publishers; Subscribers; Subjects; Schedulers; Combine Migration; Observable Objects; Encoders and Decoders;";;;-
TEC175;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I know how to display map or satellite imagery within my app with MapKit;;"Essentials; Map Coordinates; Map Customization; Annotations and Overlays; Geographical Features; Directions; Local Search; Points of Interest; Static Map Snapshots; Errors;";;;Proficient 
TEC176;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can access and share health and fitness data while maintaining the user’s privacy and control with HealthKit;;"Essentials; Health Data; Workout Data; Errors;";;;-
TEC177;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can communicate with,  configure,  and control home automation accessories with HomeKit;;"Essentials; The Home Manager; Accessories; Action Sets; Errors;";;;-
TEC178;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can access essential data types,  collections and formatters with Foundation;;"Numbers;  Data;  and Basic Values; Strings and Text; Collections; Dates and Times; Units and Measurement; Data Formatting; Filters and Sorting;";;;Exemplary 
TEC179;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can preprocess photos using the Vision framework and classify them with a Core ML model with Vision;;"VNCoreMLRequest; VNClassificationObservation; VNPixelBufferObservation; VNCoreMLFeatureValueObservation;";;;-
TEC180;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can show relevant,  glanceable content from my app on the iOS Home screen or macOS Notification Center with WidgetKit;;"Widget Creation; Configurable Widgets; Timeline Management; User Interface; Smart Stacks; Previews in Xcode;";;;-
TEC181;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can support peer-to-peer connectivity and the discovery of nearby devices with MultipeerConnectivity;;"Classes; Protocols; Structures;";;;-
TEC182;Technical;Learn how to work with Developer Tools;Developer Tools;I can evaluate privacy, security and performance risks involved when using third-party components (resources) like external libraries, frameworks, source code and tools. ;third-party components;;Progressing;Proficient ;Exemplary 
