Code;New Code;Strand;Goal;Goal Short Name;Objective;Keywords;Challenge;Core / Elective;Progressing;Backend;Business;Design;Frontend;Game Design;Game Developer;Project Management
PRO22;PRC-04-001;Process;Learn how to use ongoing processes  to take charge of learning and improve thinking.;Ongoing Activities;I reflect on a regular basis and use the results to become a better learner and developer.;Ongoing Activities, CBL, Reflection, Retrospective;MC1, NC1, NC2, NCX;Core;Progressing;;;Exemplary;;;;Proficient
PRO23;PRC-04-002;Process;Learn how to use ongoing processes to take charge of learning and improve thinking.;Ongoing Activities;I document my work and use it for continuous improvement.;Ongoing Activities, CBL, Documentation, Continuous Improvement;MC1;Core;Progressing;;;Exemplary;;;;Proficient
PRO24;PRC-04-003;Process;Learn how to use ongoing processes  to take charge of learning and improve thinking.;Ongoing Activities;I can assess my personal learning and progress and use the information to plan future learning.;Ongoing Activities, CBL, Personal Assessment, Personal Improvement;MC1, NC2, NCX;Core;Progressing;;;Proficient;;;;Proficient
PRO25;PRC-05-001;Process;Learn the fundamentals of Project Management.;Project Management;I can state and understand the key concepts and principles of project management.;Project Management, Principles of Project Management;MC2, NCX;Core;Progressing;;;Progressing;;;;Exemplary
PRO26;PRC-05-002;Process;Learn the fundamentals of Project Management.;Project Management;I can initiate a project and establish a project organization;Project Management, project organization,;MC1, NCX;;;;;Progressing;;;;Exemplary
PRO27;PRC-05-003;Process;Learn the fundamentals of Project Management.;Project Management;I can define measurable project objectives;Project Management, project objectives, ;MC1, NCX;;;;;Progressing;;;;Exemplary
PRO28;PRC-05-004;Process;Learn the fundamentals of Project Management.;Project Management;I can work with a Project Sponsor on a scope of work to deliver.;Project Management, project sponsor, project scope, ;;;;;;Progressing;;;;Exemplary
PRO29;PRC-05-005;Process;Learn the fundamentals of Project Management.;Project Management;I can create the project schedule and assign resources for effective implementation;Project Management, project scheduling, ;MC, MC1, NCX;;;;;Progressing;;;;Exemplary
PRO30;PRC-05-006;Process;Learn the fundamentals of Project Management.;Project Management;I can anticipate project and product risks and plan appropriate responses;Project Management, project risks and responses, ;MC, NCX;;;;;Progressing;;;;Exemplary
PRO31;PRC-05-007;Process;Learn the fundamentals of Project Management.;Project Management;I can apply techniques for monitoring progress and controlling the schedule;Project Management, project process, scheduling, ;MC, NCX;;;;;Progressing;;;;Exemplary
PRO32;PRC-05-008;Process;Learn the fundamentals of Project Management.;Project Management;I can close down the project effectively and positively.;Project Management, project closing, ;MC1, NCX;;;;;Progressing;;;;Exemplary
PRO33;PRC-06-001;Process;Learn the basics of the Scrum framework.;Scrum;I can describe Scrum, the five core values and the alignment with Agile.;Scrum, scrum foundations, ;NCX;;;;;;;;;Proficient
PRO34;PRC-06-002;Process;Learn the basics of the Scrum framework.;Scrum;I can explain the Scrum roles and how they interact during a Sprint.;Scrum, scrum roles, ;NCX;;;;;;;;;Proficient
PRO35;PRC-06-003;Process;Learn the basics of the Scrum framework.;Scrum;I can explain the purpose, importance and process of the five events within Scrum;Scrum, scrum events, ;NCX;;;;;;;;;Proficient
PRO36;PRC-06-004;Process;Learn the basics of the Scrum framework.;Scrum;I can define, and describe the purpose of, artifacts within Scrum. ;Scrum, scrum artifacts, ;;;;;;;;;;Proficient
PRO37;PRC-06-005;Process;Learn the basics of the Scrum framework.;Scrum;I can explain the importance of Product Backlog Refinement and potential outcomes. ;Scrum, product backlog, ;NCX;;;;;;;;;Proficient
PROF01;SKL-01-001;Professional Skills;Collaborate effectively and respectfully with diverse individuals and teams.;Collaboration;I can demonstrate the ability to work effectively and respectfully with diverse teams in different team roles.;Collaboration, Diversity;MC1, MC2, MC3, NC1, NCX;Core;Progressing;;Proficient;Exemplary;;;;Proficient
PROF02;SKL-01-002;Professional Skills;Collaborate effectively and respectfully with diverse individuals and teams.;Collaboration;I can facilitate team alignment and manage conflicts effectively.;Collaboration, Team Alignment, Conflict Management;MC1, MC2, MC3, NCX;Core;Progressing;;Exemplary;;;;;Exemplary
PROF03;SKL-01-003;Professional Skills;Collaborate effectively and respectfully with diverse individuals and teams.;Collaboration;I assume shared responsibility for collaborative work,  exercise flexibility to make compromises to achieve team goals and value the individual contributions made by each team member.;Collaboration, Shared Responsibility, Flexibility,  Compromise ;MC1, MC2, NC1, NCX;Core;Progressing;;Proficient;;;;;Exemplary
PROF04;SKL-01-004;Professional Skills;Collaborate effectively and respectfully with diverse individuals and teams.;Collaboration;I learned how to build empathy for others, including teammates and users.;Collaboration, Empathy;MC2, MC3, NCX;Core;Progressing;;Exemplary;Exemplary;;;;Exemplary
PROF05;SKL-01-005;Professional Skills;Collaborate effectively and respectfully with diverse individuals and teams.;Collaboration;I can praise/cheer my peers accomplishments as they do for mine.;Collaboration, Praise;MC1, MC3, NCX;Core;Progressing;;Proficient;;;;;Exemplary
PROF06;SKL-01-006;Professional Skills;Collaborate effectively and respectfully with diverse individuals and teams.;Collaboration;I can notice when one of my peers need help and I talk to them and offer help.;Collaboration, Helping;MC2, MC3;Core;Progressing;;Proficient;;;;;Exemplary
PROF07;SKL-01-007;Professional Skills;Collaborate effectively and respectfully with diverse individuals and teams.;Collaboration;I can give constructive feedback to my peers, mentors and teammates.;Collaboration, Constructive feedback;MC1, MC2, MC3, NC1, NCX;Core;Progressing;;Proficient;Exemplary;;;;Exemplary
PROF08;SKL-02-001;Professional Skills;Communicate in a variety of situations to reach different audiences.;Communication;I can effectively articulate thoughts and ideas using speaking skills in a variety of forms and contexts.;Communication, Situational Communication, Speaking Skills,  Context ;MC2, MC3;Core;Progressing;;Proficient;Exemplary;;;;Exemplary
PROF09;SKL-02-002;Professional Skills;Communicate in a variety of situations to reach different audiences.;Communication;I can perform Active Listening, knowing when it is appropriate to listen and when to speak.;Communication, Situational Communication, Active Listening;MC2, MC3, NCX;Core;Progressing;;Proficient;Exemplary;;;;Proficient
PROF10;SKL-03-001;Professional Skills;Leverage storytelling to tell personal and professional stories.;Storytelling;I can describe the universal elements of a story and create a story board.;Storytelling, Universal Story Elements, Story Board;MC3, NC1;Core;Progressing;;Proficient;Exemplary;;;;Proficient
PROF11;SKL-03-002;Professional Skills;Leverage storytelling to tell personal and professional stories.;Storytelling;I can create a story that elicits an emotional response.;Storytelling, Emotional Response;MC3;Core;Progressing;;Proficient;Exemplary;;;;Proficient
PROF12;SKL-03-003;Professional Skills;Leverage storytelling to tell personal and professional stories.;Storytelling;I can demonstrate the meaningful use of imagery,  audio and video to create stories.;Storytelling, Story Imagery, Story Audio, Story Video;MC3, NC1;;;;Proficient;Exemplary;;;;Progressing
PROF13;SKL-03-004;Professional Skills;Leverage storytelling to tell personal and professional stories.;Storytelling;I can develop brands by creating appealing stories through many different media and contexts.;Storytelling, brand development, ;MC3;;;;Progressing;Proficient;;;;Proficient
PROF14;SKL-04-001;Professional Skills;Prepare and deliver presentations in a variety of contexts.;Presentations;I can create clear and appropriate presentations for particular audiences and contexts.;Presentations, Audience, Context, ;MC1, MC2, MC3, NC11, NCX;Core;Progressing;;Exemplary;Exemplary;;;;Exemplary
PROF15;SKL-04-002;Professional Skills;Prepare and deliver presentations in a variety of contexts.;Presentations;I can use appropriate body language and tone of voice when presenting.;Presentations, Body Language;MC1, MC2, MC3, NC11;Core;Progressing;;Proficient;;;;;Exemplary
PROF16;SKL-04-003;Professional Skills;Prepare and deliver presentations in a variety of contexts.;Presentations;I can appropriately receive and handle critical feedback and questions during presentations.;Presentations, Feedback;MC1, MC2, NC11;Core;Progressing;;Proficient;;;;;Exemplary
PROF17;SKL-04-004;Professional Skills;Prepare and deliver presentations in a variety of contexts.;Presentations;I can present projects in a challenge review, regardless of whether the project is finished or in a working state.;Presentations, App Review,  Participation;MC2, NC11;Core;Progressing;;Exemplary;Exemplary;;;;Exemplary
PROF18;SKL-05-001;Professional Skills;Elaborate, refine, analyse and evaluate ideas using a creative workflow from ideation to presentation.;Creative Workflow;I can use a wide range of idea creation techniques to invigorate creativity, imagination and innovative thinking.;Creative Workflow, Idea Creation,  Creativity, Imagination, Innovation;MC2;;;;Exemplary;Exemplary;;;;
PROF19;SKL-05-002;Professional Skills;Elaborate, refine, analyse and evaluate ideas using a creative workflow from ideation to presentation.;Creative Workflow;I can adapt perceived failure or limitation into an opportunity to succeed through creative and innovative thinking, iteration, testing and feedback.;Creative Workflow, Failure,  Limitations, Iteration;MC3;Core;Progressing;;Proficient;Exemplary;;;;Exemplary
PROF20;SKL-06-001;Professional Skills;Empowered to improve your abilities in order to be prepared for your professional future.;Employability;I can set and manage personal goals according to resources available.;Employability, Personal Goals;MC, NC11, NC2, NCX;Core;Progressing;;Exemplary;;;;;Proficient
PROF21;SKL-06-002;Professional Skills;Empowered to improve your abilities in order to be prepared for your professional future.;Employability;I can manage my own time in order to accomplish the goals that I have for the day.;Employability, Time Management;MC, NC11, NC2, NCX;Core;Progressing;;Proficient;Proficient;;;;Proficient
PROF22;SKL-06-003;Professional Skills;Empowered to improve your abilities in order to be prepared for your professional future.;Employability;I can demonstrate originality and inventiveness while understanding the real world limits to adopt new ideas.;Employability, Originality, Real World Limits;MC, NC11;Core;Progressing;;;Proficient;;;;Proficient
PROF23;SKL-06-004;Professional Skills;Empowered to improve your abilities in order to be prepared for your professional future.;Employability;I can create an effective Visual Portfolio using different formats and platforms to showcase my best projects. ;Employability, portfolio,  showcase, ;NC11;Core;Progressing;;Exemplary;Exemplary;;;;Proficient
PROF24;SKL-06-005;Professional Skills;Empowered to improve your abilities in order to be prepared for your professional future.;Employability;I can create an effective Curriculum Vitae using different formats and platforms,  according to the professional objective and local standards.;Employability, Curriculum vitae, ;NC11;Core;Progressing;;Exemplary;Proficient;;;;Proficient
PROF25;SKL-06-006;Professional Skills;Empowered to improve your abilities in order to be prepared for your professional future.;Employability;I can develop a network of professional contacts.;Employability, Professional networking, ;NC11;Core;Progressing;;Proficient;;;;;Proficient
PROF26;SKL-07-001;Professional Skills;Develop a commitment to, and strategies for lifelong learning and professional growth. ;Personal Growth;I can evaluate self-weaknesses,  strengths,  opportunities,  threats,  abilities,  capabilities and attitudes.;Personal Growth, Self evaluation, ;NC11, NCX;Core;Progressing;;Exemplary;Proficient;;;;Proficient
PROF27;SKL-07-002;Professional Skills;Develop a commitment to, and strategies for lifelong learning and professional growth. ;Personal Growth;I can understand,  negotiate and balance diverse views and beliefs to reach workable solutions in diverse environments.;Personal Growth, Diverse views,  diverse environments, ;MC, MC1, NC11, NCX;Core;Progressing;;Proficient;Proficient;;;;Proficient
PROF28;SKL-07-003;Professional Skills;Develop a commitment to, and strategies for lifelong learning and professional growth.;Personal Growth;I have learned to listen and evaluate formal and informal feedback or critique and respond or act appropriately.;Personal Growth, form feedback,  informal feedback, ;MC1, NC1, NC11, NCX;Core;Progressing;;Proficient;Proficient;;;;Proficient
PROF29;SKL-07-004;Professional Skills;Develop a commitment to, and strategies for lifelong learning and professional growth. ;Personal Growth;I stay curious about new things and keep looking for new challenges inside the projects that I’m in.;Personal Growth, curiosity,  innovation, ;NC11;Core;Progressing;;Exemplary;Proficient;;;;Proficient
BUS01;BSN-01-001;App Business and Marketing;Learn about monetization and business decisions that need to be made when planning the development of an app.;App Business;I can measure an app's performance to get unique insight using App Analytics, Sales & Trends & Payments and Financial Reports.;App Business, Analytics, Sales,  Trends, Payments, Financial Reports;MC;;;;Exemplary;;;Exemplary;Progressing;Proficient
BUS02;BSN-01-002;App Business and Marketing;Learn about monetization and business decisions that need to be made when planning the development of an app.;App Business;I can describe the Value Proposition for an app.;App Business, Value Proposition;MC2;Core;Progressing;;Exemplary;Proficient;;Exemplary;;Exemplary
BUS03;BSN-01-003;App Business and Marketing;Learn about monetization and business decisions that need to be made when planning the development of an app.;App Business;I can describe the features and benefits of the free model and know when it is appropriate to use it.;App Business, Free Model;MC3;Core;Progressing;;Exemplary;;;Exemplary;Progressing;Proficient
BUS04;BSN-01-004;App Business and Marketing;Learn about monetization and business decisions that need to be made when planning the development of an app.;App Business;I can describe the features and benefits of the freemium model and know when it is appropriate to use it.;App Business, freemium,;MC3;Core;Progressing;;Exemplary;;;Exemplary;Progressing;Proficient
BUS05;BSN-01-005;App Business and Marketing;Learn about monetization and business decisions that need to be made when planning the development of an app.;App Business;I can describe the different types of in-app purchases.;App Business, In-app purchases, ;MC3;Core;Progressing;;Exemplary;;;Exemplary;Progressing;Proficient
BUS06;BSN-01-006;App Business and Marketing;Learn about monetization and business decisions that need to be made when planning the development of an app.;App Business;I can describe the features and benefits of the subscription model and know when it is appropriate to use it.;App Business, Subscription model, ;MC3;Core;Progressing;;Exemplary;;;Exemplary;Progressing;Proficient
BUS07;BSN-01-007;App Business and Marketing;Learn about monetization and business decisions that need to be made when planning the development of an app.;App Business;I can describe the features and the benefits of the paid model and know when it is appropriate to use it.;App Business, Paid model, ;MC3;Core;Progressing;;Exemplary;;;Exemplary;Progressing;Proficient
BUS08;BSN-01-008;App Business and Marketing;Learn about monetization and business decisions that need to be made when planning the development of an app.;App Business;I can describe when it is appropriate to offer app bundles and understand how to do it.;App Business, App bundles, ;MC3;Core;Progressing;;Exemplary;;;;;Proficient
BUS09;BSN-01-009;App Business and Marketing;Learn about monetization and business decisions that need to be made when planning the development of an app.;App Business;I can describe the features and benefits of the Paymium model and know when it is appropriate to use it.;App Business, Paymium model, ;MC3;Core;Progressing;;Exemplary;;;Exemplary;Progressing;Proficient
BUS10;BSN-02-001;App Business and Marketing;Learn how to effectively market an app on the store.;App Marketing;I can use app Analytics to track,  test,  and quickly iterate on marketing initiatives to increase downloads and attract users.;App Marketing, App analytics, marketing initiatives;MC;;;;Proficient;;;Progressing;;Progressing
BUS11;BSN-02-002;App Business and Marketing;Learn how to effectively market an app on the store.;App Marketing;I can understand how to efficiently help people discover your app with Apple Search Ads;App Marketing, Apple Search ads;MC, NCX;;;;Progressing;;;Progressing;;Progressing
BUS12;BSN-02-003;App Business and Marketing;Learn how to effectively market an app on the store.;App Marketing;I can understand how to implement and Promote Apps with Safari Smart App Banners;App Marketing, App banners;NCX;;;;Progressing;;;Progressing;;Progressing
BUS13;BSN-03-001;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I’m aware of the trends in the global App market and I can describe the opportunities that the market provides for me.;Entrepreneurship, App Market,  App Economy;MC, NCX;;;;Proficient;Beginning;;Exemplary;;Progressing
BUS14;BSN-03-002;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can describe the concepts of  entrepreneurship and social entrepreneurship.;Entrepreneurship, Concepts;NCX;;;;Proficient;Beginning;;;;Progressing
BUS15;BSN-03-003;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can identify key factors and characteristics creating opportunities for entrepreneurship.;Entrepreneurship, Characteristics;NCX;;;;Proficient;;;;;Progressing
BUS16;BSN-03-004;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can critically evaluate underpinning concepts of ‘triple bottom line’ and its implications on the establishment and successful management of social enterprises;Entrepreneurship, Triple Bottom Line;NCX;;;;Proficient;;;;;
BUS17;BSN-03-005;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can identify the best solution focus on sustainable social and economic value creation.;Entrepreneurship, Social;NCX;;;;Proficient;;;;;Progressing
BUS18;BSN-03-006;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can describe the main features of a business model.;Entrepreneurship, Business Model Canvas;NCX;;;;Proficient;Progressing;;;;Progressing
BUS19;BSN-03-007;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can explain the main features of a value proposition and a unique selling proposition.;Entrepreneurship, Value Proposition;MC2, NCX;;;;Exemplary;Progressing;;Exemplary;;Proficient
BUS20;BSN-03-008;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I understand the Minimum Viable Product MPV role in developing a business.;Entrepreneurship, Minimum Viable Product;MC2, NCX;;;;Exemplary;Proficient;;Proficient;;Progressing
BUS21;BSN-03-009;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can describe the key factors leading to the creation and development of a business/start up.;Entrepreneurship, Startups;NCX;;;;Proficient;;;;;Progressing
BUS22;BSN-03-010;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can describe the key factors of an effective market analysis.;Entrepreneurship, Market analysis;NCX;;;;Proficient;Beginning;;Proficient;;Progressing
BUS23;BSN-03-011;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can apply coherent and strategic methods and tools to validate a business idea.;Entrepreneurship, Idea Valuation;MC2, NCX;;;;Exemplary;Proficient;;Proficient;;Progressing
BUS24;BSN-03-012;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can identify the key factors of a competitive analysis;Entrepreneurship, Competitive analysis;NCX;;;;Exemplary;Progressing;;Proficient;Beginning;Progressing
BUS25;BSN-03-013;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can apply strategic thinking,  tools and practices plan a sustainable and scalable business;Entrepreneurship, Strategic mindset;NCX;;;;Proficient;Beginning;;Progressing;;Progressing
BUS26;BSN-03-014;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can effectively apply digital marketing tools to promote a business.;Entrepreneurship, Digital Marketing;NCX;;;;Progressing;;;Progressing;;Progressing
BUS27;BSN-03-015;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can identify public | private financial incentives to support and carry out business  creation and development;Entrepreneurship, Finance;NCX;;;;Proficient;;;Progressing;;Progressing
BUS28;BSN-03-016;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can explain the key elements of a  Business Plan;Entrepreneurship, Business Plan;;;;;Proficient;Progressing;;Proficient;;
BUS29;BSN-03-017;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can create a policy and strategy to attract investors/stakeholders to support the development and success of a business project;Entrepreneurship, Investors;NCX;;;;Proficient;;;Proficient;;
BUS30;BSN-03-018;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can pitch a business idea/project,  to attract stakeholder support.;Entrepreneurship, Pitches;NCX;;;;Proficient;Proficient;;Exemplary;;Progressing
BUS31;BSN-04-001;App Business and Marketing;Learn about basic legal issues surrounding the development,  marketing and distribution of apps.;Legal Guidelines;I can describe Apple’s legal requirements when marketing and distributing  apps.;Legal Guidelines, Legal,  Apple requirements, ;MC3, NCX;Core;Progressing;;Proficient;Progressing;;;;
BUS32;BSN-04-002;App Business and Marketing;Learn about basic legal issues surrounding the development,  marketing and distribution of apps.;Legal Guidelines;I can properly address privacy concerns when developing apps.;Legal Guidelines, Legal,  Privacy concerns, ;MC3;Core;Progressing;;Proficient;Beginning;;;;Proficient
BUS33;BSN-04-003;App Business and Marketing;Learn about basic legal issues surrounding the development,  marketing and distribution of apps.;Legal Guidelines;I can apply the different and most suitable types of intellectual Property Rights licenses to my work.;Legal Guidelines, Legal Intellectual,  property;MC3, NCX;;;;Exemplary;Proficient;;Proficient;;Progressing
BUS34;BSN-04-004;App Business and Marketing;Learn about basic legal issues surrounding the development,  marketing and distribution of apps.;Legal Guidelines;I can appropriately handle user privacy and  data use in Apps,  and understand how to describe how my app uses data on my App Store Product Page;Legal Guidelines, legal,  user data,  privacy,  data use, ;MC3;Core;Progressing;;Exemplary;Progressing;;Proficient;;Proficient
BUS35;BSN-05-001;App Business and Marketing;Learn how to correctly follow App Store Guidelines.;;I can correctly and effectively use App Store badges,  Apple product images, and Apple identity guidelines to effectively promote my app’s availability.;Store Guidelines, app store guidelines,  identity guidelines,  badges,  produce images, ;MC3, NCX;Core;Progressing;;Proficient;Proficient;;Proficient;Proficient;
BUS36;BSN-05-002;App Business and Marketing;Learn how to correctly follow App Store Guidelines.;;I can describe and effectively follow the App Store Review Guidelines to get an app approved;Store Guidelines, app store guidelines,  App store review, ;MC3;Core;Progressing;;Exemplary;;;Proficient;Proficient;Proficient
BUS37;BSN-05-003;App Business and Marketing;Learn how to correctly follow App Store Guidelines.;;I can explain the common reasons for app rejections.;Store Guidelines, app store guidelines,  app rejection;MC3;;;;Proficient;Progressing;;Proficient;Proficient;Proficient
BUS38;BSN-05-004;App Business and Marketing;Learn how to correctly follow App Store Guidelines.;;I can effectively use TestFlight Beta Testing to identify and resolve issues with apps before releasing it to the app store.;Store Guidelines, ;MC3;;;;Proficient;Proficient;;Proficient;Proficient;Proficient
BUS39;BSN-06-001;App Business and Marketing;Learn how to craft an effective presence in the app store.;Store Presence;I can use ratings,  reviews and responses to reviews to improve app’s discoverability,  encourage downloads,  craft updates,  and build rapport with users.;Store Presence, Product Page and Discovery,  app ratings;;;;;Proficient;Progressing;;;;Progressing
BUS40;BSN-06-002;App Business and Marketing;Learn how to craft an effective presence in the app store.;Store Presence;I can explain how to optimize Apps for App Store Search;Store Presence, Product Page and Discovery,  Search optimization;;;;;Proficient;;;;;Proficient
BUS41;BSN-06-003;App Business and Marketing;Learn how to craft an effective presence in the app store.;Store Presence;I can apply optimization strategies to help customers find and engage with an app.;Store Presence, Product Page and Discovery,  Search optimization strategies;;;;;Exemplary;Beginning;;;;Progressing
BUS42;BSN-06-004;App Business and Marketing;Learn how to craft an effective presence in the app store.;Store Presence;I understand the considerations App Store editors take into account when deciding to “feature” apps in the App Store;Store Presence, Product Page and Discovery,  Getting Featured;;;;;Progressing;Progressing;;Beginning;Beginning;Progressing
BUS43;BSN-06-005;App Business and Marketing;Learn how to craft an effective presence in the app store.;Store Presence;I can create an effective Product Page that help users discover my app and engage them through thoughtfully crafted metadata.;Store Presence, Product Page and Discovery,  Product page,  metadata;NCX;;;;Exemplary;Proficient;;Proficient;Proficient;Proficient
BUS44;BSN-06-006;App Business and Marketing;Learn how to craft an effective presence in the app store.;Store Presence;I can create compelling app previews that spark interest and drive downloads of an app using footage captured on device.;Store Presence, Product Page and Discovery,  previews;NCX;;;;Proficient;Exemplary;;Progressing;Progressing;Progressing
BUS45;BSN-06-007;App Business and Marketing;Learn how to craft an effective presence in the app store.;Store Presence;I can explore and compare categories to choose which best describes my app.;Store Presence, Product Page and Discovery,  categories;MC3, NCX;;;;Exemplary;Progressing;;Proficient;Proficient;Proficient
BUS46;BSN-06-008;App Business and Marketing;Learn how to craft an effective presence in the app store.;Store Presence;I can describe and leverage the discovery features of the app store to effectively market apps.;Store Presence, Product Page and Discovery features;MC, NCX;;;;Exemplary;;;;;Proficient
BUS47;BSN-06-009;App Business and Marketing;Learn how to craft an effective presence in the app store.;Store Presence;I can publish an app as a pre-order.;Store Presence, Product Page and Discovery,  app pre-order;NCX;;;;Proficient;;;;;Progressing
BUS48;BSN-07-001;App Business and Marketing;Learn about how they keep their apps relevant,  attract new users and retain existing users after the launch.;User Engagement;I can use app updates to engage with users;User Engagement, User engagement,  app updates;MC, NCX;;;;Proficient;Progressing;;;;Progressing
BUS49;BSN-07-002;App Business and Marketing;Learn about how they keep their apps relevant,  attract new users and retain existing users after the launch.;User Engagement;I can plan,  present,  and promote live events in games to help grow business.;User Engagement, User engagement,  live events;NCX;;;;Progressing;;;;;Progressing
BUS50;BSN-07-003;App Business and Marketing;Learn about how they keep their apps relevant,  attract new users and retain existing users after the launch.;User Engagement;I can prepare an app for a global audience,  and help users around the world discover and download my app;User Engagement, User engagement | Localization,  global audience;MC3;;;;Progressing;Progressing;;;;Progressing
TEC102;TCH-06-004;Technical;Learn how to work with Operating Systems;Operating Systems;I can use Apple TV Markup Language to create individual pages inside of a client-server app with TVML;Operating Systems, Full-Page Templates, Compound Elements, Simple Elements, Styles, Attributes, Queries, Resource Icons,;;;;;;;;;;
TEC103;TCH-06-005;Technical;Learn how to work with Operating Systems;Operating Systems;I can implement two-way communication between an iOS app and its paired watchOS app with WatchConnectivity;Operating Systems, First Steps, Data Objects, ;;;;;;;;;;
TEC104;TCH-06-006;Technical;Learn how to work with Operating Systems;Operating Systems;I can create tvOS client-server apps using web technologies to stream media and respond to events with TVMLKit JS;Operating Systems, First Steps, App Initialization, Device Settings, Media Playback, Element Access, Data Storage and Retrieval, Errors, Classes,;;;;;;;;;;
TEC105;TCH-06-007;Technical;Learn how to work with Operating Systems;Operating Systems;I know how to build apps that leverage watchOS features with WatchKit;Operating Systems, Essentials, App Infrastructure, Audio, Storyboard Support, Extended Runtime Sessions, Background Tasks, Notifications, Errors,;;;;;;;;;;
TEC106;TCH-06-008;Technical;Learn how to work with Operating Systems;Operating Systems;I can show common user interface elements from Apple TV in my native app with TVUIKit;Operating Systems, Lockup Views, Header and Footer View, State Changes, Input View, Collection View,;;;;Proficient;;;Progressing;;;
TEC107;TCH-07-001;Technical;Learn how to use Platform Functionalities;Platform Functionalities;I can manage resources located in an app,  framework,  or plugin bundle with Bundle Resources;Platform Functionalities, Property Lists, Objects,;;;;;;;;;;
TEC108;TCH-07-002;Technical;Learn how to use Platform Functionalities;Platform Functionalities;I can implement handoff;Platform Functionalities, Handoff Activities, NSUserActivity, NSUserActivityDelegate,;NC2;;;;;;;;;
TEC109;TCH-07-003;Technical;Learn how to use Platform Functionalities;Platform Functionalities;I know how to create app extensions;Platform Functionalities, NSExtensionRequestHandling, NSExtensionContext, Custom Keyboard,;;;;;;;Beginning;;;
TEC110;TCH-07-004;Technical;Learn how to use Platform Functionalities;Platform Functionalities;I can apply Drag and Drop;Platform Functionalities, Drag and Drop,;;;;;;;Beginning;;;
TEC111;TCH-07-005;Technical;Learn how to use Platform Functionalities;Platform Functionalities;I can implement Mac Catalyst;Platform Functionalities, App Support, User Interface, User Interactions, User Preferences,;NCX;;;Exemplary;;;Exemplary;;;
TEC112;TCH-07-006;Technical;Learn how to use Platform Functionalities;Platform Functionalities;I know how to protect User’s Privacy;Platform Functionalities, Requesting Access to Protected Resources,, Guidelines from Government Sources,;MC3;Core;Progressing;Progressing;;;Proficient;;;
TEC113;TCH-07-007;Technical;Learn how to use Platform Functionalities;Platform Functionalities;I know how to manage Accessibility;Platform Functionalities, Accessibility Inspector, Dynamic Type,, VoiceOver, UIAccessibility, Guided Access, Assistive Touch, Switch Control, Text to Speech,;NC2;Core;Progressing;;;;;;Proficient;
TEC114;TCH-08-001;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can communicate with Bluetooth low energy and BR/EDR “Classic” Devices with Core Bluetooth;Supporting Frameworks, Centrals, Peripherals, Data Transfer, Services, Supporting Types, Bluetooth Classic Support, Errors,;;;;;;;Beginning;;;
TEC115;TCH-08-002;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can display an interface for viewing,  selecting,  and editing calendar events and reminders with EventKitUI;Supporting Frameworks, Calendar Views, Calendar Edits, Calendar Selection, EventKit Bundle Access,;;;;;;;;;;
TEC116;TCH-08-003;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I know how to detect NFC tags,  read messages that contain NDEF data,  and save data to writable tags with Core NFC;Supporting Frameworks, Essentials, Reader Sessions, Tag Types, NDEF Messages and Payloads, Errors, ;;;;;;;;;;
TEC117;TCH-08-004;Technical;Learn how to use Supporting Frameworks;Supporting Frameworks;I can enable teachers to assign activities from your app’s content and to view student progress with ClassKit;Supporting Frameworks, Essentials, Contexts, Activities, Activity Items, Errors,;;;;Progressing;;;;;;
